       , in         , singLow    , silence1  
[2:56] , in         , singLow    , silence1  
       , in         , silence1   , silence1  
[2:57] , in         , silence1   , silence1  
       , in         , silence1   , silence1  
[2:58] , in         , silence1   , silence1  
       , humHigh    , silence1   , silence1  
[2:59] , humHigh    , silence1   , silence1  
       , humHigh    , silence1   , silence1  
[3: 0] , humHigh    , silence1   , silence1  
       , humHigh    , silence1   , in        
[3: 1] , humHigh    , silence1   , in        
       , silence1   , in         , in        
[3: 2] , silence1   , in         , in        
       , silence1   , in         , in        
[3: 3] , silence1   , in         , in        
       , silence1   , in         , out       
[3: 4] , silence1   , in         , out       
       , silence1   , out        , out       
[3: 5] , silence1   , out        , out       
       , silence1   , out        , out       
[3: 6] , silence1   , out        , out       
       , in         , out        , silence1  
[3: 7] , in         , out        , silence1  
       , in         , silence1   , in        
[3: 8] , in         , silence1   , in        
       , in         , in         , in        
[3: 9] , in         , in         , in        
       , singLow    , in         , in        
[3:10] , singLow    , in         , in        
       , singLow    , in         , humLow    
[3:11] , singLow    , in         , humLow    
       , singLow    , singHigh   , humLow    
[3:12] , singLow    , singHigh   , humLow    
       , silence1   , singHigh   , humLow    
[3:13] , silence1   , singHigh   , humLow    
       , silence1   , singHigh   , silence1  
[3:14] , silence1   , singHigh   , silence1  
       , silence1   , silence1   , silence1  
[3:15] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[3:16] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[3:17] , silence1   , silence1   , silence1  
       , in         , silence1   , silence1  
[3:18] , in         , silence1   , silence1  
       , in         , silence1   , in        
[3:19] , in         , silence1   , in        
       , in         , in         , in        
[3:20] , in         , in         , in        
       , humLow     , in         , in        
[3:21] , humLow     , in         , in        
       , humLow     , in         , singHigh  
[3:22] , humLow     , in         , singHigh  
       , humLow     , humLow     , singHigh  
[3:23] , humLow     , humLow     , singHigh  
       , silence1   , humLow     , singHigh  
[3:24] , silence1   , humLow     , singHigh  
       , silence1   , humLow     , silence1  
[3:25] , silence1   , humLow     , silence1  
       , silence1   , silence1   , silence1  
[3:26] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[3:27] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[3:28] , silence1   , silence1   , silence1  
       , in         , silence1   , silence1  
[3:29] , in         , silence1   , silence1  
       , in         , silence1   , in        
[3:30] , in         , silence1   , in        
       , in         , in         , in        
[3:31] , in         , in         , in        
       , singHigh   , in         , in        
[3:32] , singHigh   , in         , in        
       , singHigh   , in         , humHigh   
[3:33] , singHigh   , in         , humHigh   
       , singHigh   , out        , humHigh   
[3:34] , singHigh   , out        , humHigh   
       , silence1   , out        , humHigh   
[3:35] , silence1   , out        , humHigh   
       , silence1   , out        , silence1  
[3:36] , silence1   , out        , silence1  
       , silence1   , silence1   , silence1  
[3:37] , silence1   , silence1   , silence1  
       , silence1   , in         , silence1  
[3:38] , silence1   , in         , silence1  
       , silence1   , in         , silence1  
[3:39] , silence1   , in         , silence1  
       , in         , in         , silence1  
[3:40] , in         , in         , silence1  
       , in         , humHigh    , in        
[3:41] , in         , humHigh    , in        
       , in         , humHigh    , in        
[3:42] , in         , humHigh    , in        
       , out        , humHigh    , in        
[3:43] , out        , humHigh    , in        
       , out        , silence1   , out       
[3:44] , out        , silence1   , out       
       , out        , silence1   , out       
[3:45] , out        , silence1   , out       
       , silence1   , silence1   , out       
[3:46] , silence1   , silence1   , out       
       , silence1   , silence1   , silence1  
[3:47] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[3:48] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[3:49] , silence1   , silence1   , silence1  
[3:49] , ********** , ********** , **********
       , snapNow    , snapNow    , snapNow   
[3:50] , snapNow    , snapNow    , snapNow   
       , snapNow    , snapNow    , snapNow   
[3:51] , snapNow    , snapNow    , snapNow   
[3:51] , ********** , ********** , **********
       , inNose     , inNose     , inNose    
[3:52] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[3:53] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[3:54] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[3:55] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[3:56] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[3:57] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[3:58] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[3:59] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[4: 0] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[4: 1] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[4: 2] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4: 3] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4: 4] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[4: 5] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[4: 6] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[4: 7] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[4: 8] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[4: 9] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4:10] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[4:11] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[4:12] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[4:13] , inNose     , inNose     , inNose    
