       , intro      , intro      , intro     
       , snapNow    , silence1   , snapIntro 
[3: 2] , snapNow    , silence1   , snapIntro 
       , in         , silence1   , snapNow   
[3: 3] , in         , silence1   , snapNow   
       , in         , silence1   , snapNow   
[3: 4] , in         , silence1   , snapNow   
       , in         , in         , inMouth   
[3: 5] , in         , in         , inMouth   
       , humHigh    , in         , inMouth   
[3: 6] , humHigh    , in         , inMouth   
       , humHigh    , in         , inMouth   
[3: 7] , humHigh    , in         , inMouth   
       , humHigh    , humHigh    , hold1     
[3: 8] , humHigh    , humHigh    , hold1     
       , silence1   , humHigh    , outNose   
[3: 9] , silence1   , humHigh    , outNose   
       , silence1   , humHigh    , outNose   
[3:10] , silence1   , humHigh    , outNose   
       , silence1   , silence1   , outNose   
[3:11] , silence1   , silence1   , outNose   
       , silence1   , silence1   , snapNow   
[3:12] , silence1   , silence1   , snapNow   
       , silence1   , silence1   , snapNow   
[3:13] , silence1   , silence1   , snapNow   
       , snapNow    , silence1   , in        
[3:14] , snapNow    , silence1   , in        
       , snapNow    , silence1   , in        
[3:15] , snapNow    , silence1   , in        
       , in         , inMouth    , in        
[3:16] , in         , inMouth    , in        
       , in         , inMouth    , humHigh   
[3:17] , in         , inMouth    , humHigh   
       , in         , inMouth    , humHigh   
[3:18] , in         , inMouth    , humHigh   
       , humLow     , hold1      , humHigh   
[3:19] , humLow     , hold1      , humHigh   
       , humLow     , outNose    , silence1  
[3:20] , humLow     , outNose    , silence1  
       , humLow     , outNose    , silence1  
[3:21] , humLow     , outNose    , silence1  
       , silence1   , outNose    , silence1  
[3:22] , silence1   , outNose    , silence1  
       , silence1   , in         , silence1  
[3:23] , silence1   , in         , silence1  
       , silence1   , in         , silence1  
[3:24] , silence1   , in         , silence1  
       , silence1   , in         , in        
[3:25] , silence1   , in         , in        
       , silence1   , out        , in        
[3:26] , silence1   , out        , in        
       , inMouth    , out        , in        
[3:27] , inMouth    , out        , in        
       , inMouth    , out        , humLow    
[3:28] , inMouth    , out        , humLow    
       , inMouth    , silence1   , humLow    
[3:29] , inMouth    , silence1   , humLow    
       , hold1      , in         , humLow    
[3:30] , hold1      , in         , humLow    
       , outNose    , in         , silence1  
[3:31] , outNose    , in         , silence1  
       , outNose    , in         , silence1  
[3:32] , outNose    , in         , silence1  
       , outNose    , out        , silence1  
[3:33] , outNose    , out        , silence1  
       , in         , out        , silence1  
[3:34] , in         , out        , silence1  
       , in         , out        , silence1  
[3:35] , in         , out        , silence1  
       , in         , silence1   , in        
[3:36] , in         , silence1   , in        
       , humHigh    , in         , in        
[3:37] , humHigh    , in         , in        
       , humHigh    , in         , in        
[3:38] , humHigh    , in         , in        
       , humHigh    , in         , out       
[3:39] , humHigh    , in         , out       
       , silence1   , humLow     , out       
[3:40] , silence1   , humLow     , out       
       , silence1   , humLow     , out       
[3:41] , silence1   , humLow     , out       
       , silence1   , humLow     , silence1  
[3:42] , silence1   , humLow     , silence1  
       , silence1   , silence1   , in        
[3:43] , silence1   , silence1   , in        
       , silence1   , silence1   , in        
[3:44] , silence1   , silence1   , in        
       , in         , silence1   , in        
[3:45] , in         , silence1   , in        
       , in         , silence1   , humHigh   
[3:46] , in         , silence1   , humHigh   
       , in         , silence1   , humHigh   
[3:47] , in         , silence1   , humHigh   
       , humLow     , snapNow    , humHigh   
[3:48] , humLow     , snapNow    , humHigh   
       , humLow     , snapNow    , silence1  
[3:49] , humLow     , snapNow    , silence1  
       , humLow     , in         , silence1  
[3:50] , humLow     , in         , silence1  
       , silence1   , in         , silence1  
[3:51] , silence1   , in         , silence1  
       , silence1   , in         , silence1  
[3:52] , silence1   , in         , silence1  
       , silence1   , humHigh    , silence1  
